,EventTemplate,Occurrences
311,**** [{component}][{action}] -- {status} (matched on {criteria}) -- {code} ****,3
312,"hibernate_newruntime_map time: {time} ms, {function1}(), {function2} {value}",2
313,vm_compressor_fastwake_warmup ({start} - {end}) - starting,1
314,"<IMMacNotificationCenterManager: {placeholder}>: Updating enabled: {placeholder} (Topics: ({placeholder}, {placeholder}, {placeholder}, {placeholder}, {placeholder}, {placeholder}, {placeholder}, {placeholder}, {placeholder}, {placeholder}, {placeholder}, {placeholder}, {placeholder}, {placeholder}, {placeholder}))",1
315,YYYY-MM-DD HH:MM:SS.sss {process_name}[{process_id}/{thread_id}] [lvl={log_level}] {function_name}() {message},2
316,YYYY-MM-DD HH:mm:ss.SSS {processName}[{processID}/{threadID}] [lvl={logLevel}] -[{methodName} {actionName}] {message},1
317,YYYY/MM/DD HH:MM:SS.sss | L | Module | File:Line:Function | Message.,1
318,<IMMacNotificationCenterManager: {var1}>: notification observer: {var2} notification: __CFNotification {var3} {var4},1
319,CCProfileMonitor::{function} done,1
320,tcp_connection_destination_perform_socket_connect {port} connectx to {ip}:{protocol}@{status} failed: [{error_code}] {error_message},1
321,<IMMacNotificationCenterManager: {var1}>: NC Disabled: {var2},5
322,CGXDisplayDidWakeNotification [{number}]: posting kCGSDisplayDidWake],2
323,__[{thread}] [{class} {method}]_block_invoke {block} - {message} {error_code}. {error_description} {ip_address},1
324,Daemon connection invalidated!,1
325,"CCFile::copyFile fileName is {file_name}, source path:{source_path}, dest path:{dest_path}",1
326,network changed: v4({interface}:{ipv4_address}) v6({interface}:{ipv6_address}) DNS! Proxy SMB,3
327,IOHibernatePollerOpen({int}),2
328,"hibernate_machine_init: state {state}, image pages {image_pages}, sum was {sum}, imageSize {image_size}, image1Size {image1_size}, conflictCount {conflict_count}, nextFree {next_free}",1
329,[{HID}] [{MT}] {class}::willTerminate entered,1
330,hibernate_rebuild completed - took {time} msecs,1
331,{}::stop Entered,2
332,{}::start Entered,2
333,"bitmap_size {bitmap_size}, previewSize {previewSize}, writing {pages} pages @ {address}",2
334,en{interface}: {message},1
335,"DB Error: {error_code} ""{error_message}""",3
336,YYYY-MM-DD HH:MM:SS.mmm {process_name}[{process_id}/{thread_id}] [lvl={log_level}] -[{method_name} {method_description}] {message},1
337,<IMMacNotificationCenterManager: {var1}>: Updating enabled: {var2} (Topics: {var3}),1
338,"device_generate_lock_screen_screenshot: authw {authw}(2000)[{authw_list}], shield {shield}(2001), dev [{dev_width},{dev_height}]",1
339,[__:__:__.__] <<<< CRABS >>>> crabsFlumeHostAvailable: [{}] Byte flume reports host available again.,1
340,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=0x7fe13530fc60 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""{placeholder1}"" UserInfo={NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12, NSLocalizedDescription=""{placeholder2}""}}, NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispa",1
341,QQ({pid}) {action} {target},1
342,"arp_client_transmit({interface}) failed, {error_message} ({error_code})",1
343,Captive: CNPluginHandler {interface}: {status},2
344,-[NETClientConnection evaluate{methodName}] {arg1} - Perform {taskName}! {arg2}. {arg3} {arg4}:{arg5},1
345,[{date}:WARNING:{file}({line})] {message},2
346,-[{class} {method}] using process name {processName} as bundle ID ({message}),4
347,"CCFile::captureLogRun Skipping current file Dir file {date}-CCIOReporter-007.xml, Current File {date}-CCIOReporter-007.xml",2
348,could discard act {act} inact {inact} purgeable {purgeable} spec {spec} cleaned {cleaned},2
349,"booter start at {time} ms smc {smc_time} ms, [{unknown}], total {total_time} ms, dsply {dsply_time}, {unknown} ms, tramp {tramp_time} ms",1
350,"hostControllerOnline - Number of Paired devices = {num_devices}, List of Paired devices = ({device_list})",1
351,**** [{component}][{action}] -- {message} ****,1
352,{}: {},1
353,**** [{component}][{action}] -- completed -- result = {result} -- {code} ****,2
354,YYYY-MM-DD HH:mm:ss.sss {processName}[{processId}/{threadId}] [lvl={logLevel}] {methodName} {message},1
355,"Google Chrome He[{pid}] triggered unnest of range {memory_range} of DYLD shared region in VM map {vm_map}. While not abnormal for debuggers, this increases system memory footprint until the target exits.",1
356,-[NETClientConnection evaluate{variable1}] {variable2} - Perform {variable3}! {variable4}.{variable5} {variable6} {variable7},3
357,hibernate_page_list_setall(preflight {int}) start,1
358,hibernate_page_list_setall time: {time} ms,1
359,IOPolledFilePollersOpen({}) {} ms,1
360,hibernate_teardown completed - discarded {num},1
361,"Opened file {file_path}, size {file_size}, extents {num_extents}, maxio {max_io} ssd {is_ssd}",1
362,[{class}::{method}] {message},1
363,{:}: stop,1
364,[{hid}] [{mt}] {class}::{method} entered,1
365,[{module}-ERROR] -{function}:[{parameter}] {error},1
366,Unable to start {service}:,2
367,Got an {error_type} error: {error_description},1
368,-[SFLListManager(ServiceReplyProtocol) notifyChanges:toListWithIdentifier:] Notified of item changes to list with identifier {identifier},1
369,YYYY-MM-DD HH:MM:SS.mmm {processName}[{processID}/{threadID}] [lvl={logLevel}] -[{methodName} {className}] {message},1
370,no sleep images for {variable},1
371,ChromeExistion main isUndetectWithCommand = {value},2
372,after trim url = {url},1
373,"ChromeExistion main strSendMsg = {""websitekey"":{websitekey},""commandkey"":{commandkey},""browserkey"":{browserkey}}",1
374,url host = {host},1
375,the url = {url},1
376,{:time} : Purged contact hashes,1
377,"en{interface}: channel changed to {channel},{offset}",2
378,network changed: v6({interface}-:{ipv6_address}) {flags},1
379,__[{thread}] [{class} {method}]_{type} {code} - {message} {params},1
380,[{date}:{time}:{severity}:{file}({line})] {message},1
381,"ARPT: {timestamp}: {interface}: Roamed or switched channel, reason #{reason}, bssid {bssid}, last RSSI {rssi}",2
382,{} started,1
383,"CCFile::captureLogRun Skipping current file Dir file {date}-io80211Family-008.pcapng, Current File {date}-io80211Family-008.pcapng",1
384,"Service ""{service}"" tried to hijack endpoint ""{endpoint}"" from owner: {owner}",3
385,YYYY-MM-DD HH:MM:SS.sss {process_name}[{process_id}/{thread_id}] [lvl={log_level}] -[{class_name}({method_name}) {method_description}] {message},1
386,YYYY-MM-DD HH:mm:ss.sss {process}[{pid}/{thread}] [lvl={level}] -[{class}({method}) {message},1
387,"ARPT: {timestamp}: IOPMPowerSource Information: onWake, SleepType: {sleep_type}, 'ExternalConnected': {external_connected}, 'TimeRemaining': {time_remaining},",1
388,Sandbox: {process}(9854) {action}(1) {resource} {path},1
389,YYYY-MM-DD HH:MM:SS.mmmmmm PM [AirPlayUIAgent] BecomingInactive: {notification},1
390,YYYY/MM/DD HH:MM:SS.mmm | L | Module | File:Line:Function | Message.,2
391,Sandbox: {process}(37204) {action}(1) {type} /{path},1
392,full wake request (reason {reason}) {time} ms,1
393,"ARPT: {timestamp}: wl0: wl_update_tcpkeep_seq: Original Seq: {seq_num}, Ack: {ack_num}, Win size: {win_size}",1
394,"com.apple.CacheDelete.daily: {activity_type} told me to run this job; however, but the start time isn't for {time} seconds. Ignoring.",2
395,kern_open_file_for_direct_io({}),1
396,"PM response took {time} ms ({code}, {status})",1
397,[{component}] [{message}],1
398,YYYY-MM-DD HH:MM:SS.mmm {process_name}[{process_id}/{memory_address}] [lvl={log_level}] -[function_name] message,1
399,"NETWORK: no response from server, reachability, {int}, queryRetries, {int}",1
400,"Page bounds {{}, {}}",1
401,Failed to connect ({outletName}) outlet from ({sourceView}) to ({destinationView}): {reason},1
402,[com.apple.calendar.store.log.caldav.queue] [Account {email}@{server}/caldav/principals/users/{username} timed out when executing operation: <CalDAVAccountRefreshQueueableOperation: {memory_address}; Sequence: {sequence}>],1
403,"[com.apple.calendar.store.log.caldav.queue] [Account refresh failed with error: Error Domain=CoreDAVHTTPStatusErrorDomain Code={placeholder} ""{placeholder}"" UserInfo={AccountName={placeholder}, CalDAVErrFromRefresh=YES, CoreDAVHTTPHeaders=<CFBasicHash {placeholder} [0x7fff7abc1440]>{type = immutable dict, count = {placeholder}, entries => 0 : Connection = <CFString {placeholder} [0x7fff7abc1440]>{contents = ""{placeholder}""} 3 : Content-Type = text/html 4 : Content-Length = {placeholder} 5 : Server = nginx 6 : Date = <CFString {placeholder} [0x7fff7abc1440]>{contents = ""{placeholder}""} } }]",1
404,"Page bounds {{{}, {}} {{}, {}}}",1
405,Sandbox: {string}(352) {string}({int}) {string} {string}:{string}:,1
406,"no application identifier provided, can't use provisioning profiles [pid={pid}]",1
407,tcp_connection_destination_handle_tls_close_notify {int} closing socket due to TLS CLOSE_NOTIFY alert,1
408,CFNetwork SSLHandshake failed ({error_code}),1
409,"Unable to simultaneously satisfy constraints: ( ""<NSLayoutConstraint:{placeholder1}>"", ""<NSLayoutConstraint:{placeholder2}>"", ""<NSLayoutConstraint:{placeholder3}>"", ""<NSLayoutConstraint:{placeholder4}>"", ""<NSLayoutConstraint:{placeholder5}>"")",2
410,"Configuration Notice: ASL Module ""{module1}"" sharing output destination ""{destination}"" with ASL Module ""{module2}"". Output parameters from ASL Module ""{module2}"" override any specified in ASL Module ""{module1}"".",1
411,{:app_name}: {:message},1
412,(,1
413,YYYY-MM-DD HH:MM:SS.SSS {process_name}[{process_id}/{thread_id}] [lvl={log_level}] -[{method_name} {method_description}] {message},1
414,"CCDataTap::profileRemoved, Owner: {owner}, Name: {name}",2
415,Unrecognized XSSimpleTypeDefinition: {type},2
416,DB Path: {path},1
417,Could not get event name for stream/token: {stream/token}: {error_code}: {error_message},1
418,{date} GoogleSoftwareUpdateAgent[{process_id}/{memory_address}] [lvl={log_level}] -[{action}] {description},1
419,Error in {handler}: {error_code},1
420,[{time}] FigAgglomeratorSetObjectForKey signalled err={error_code} ({error_description}) ({error_details}) at {file_path} line {line_number},1
421,Session {session_id} destroyed,2
422,"CCFile::captureLogRun Skipping current file Dir file [{timestamp}]-{filename}, Current File [{timestamp}]-{filename}",1
423,-[NETClientConnection evaluate{methodName}] {arg1} - Perform {action}! {arg2}. {arg3} {arg4}:{arg5},1
424,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=0x7fb7f0035dc0 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey={url}, NSErrorFailingURLKey={url}, _kCFStreamErrorCodeKey={errorCode}, _kCFStreamErrorDomainKey={errorDomain}, NSLocalizedDescription={description}}}, NSErrorFailingURLStringKey={url}, NSErrorFailingURLK",1
425,Sandbox: {process}(38418) {action}(1) mach-lookup {target},1
426,"nw_path_evaluator_start_helper_connection net_helper_path_evaluation_start failed, dumping backtrace: [{placeholder}]",1
427,"CoreAnimation: warning, deleted thread with uncommitted CATransaction; set CA_DEBUG_TRANSACTIONS={debug_transactions} in environment to log backtraces.",1
428,Sandbox: {process}(38449) {action}(1) {type} /{path},1
429,-[SOAPParser:{var1} parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in {var2} for {var3} ({var4}:{var3}),1
430,full wake promotion (reason {reason}) {time} ms,1
431,"NSURLSession/NSURLConnection HTTP load failed ({}, {})",1
432,"[QL] No sandbox token for request <{request}>, it will probably fail",1
433,"schedule invalidation <DYTransport {transport_address}, error: {error_message}>",1
434,[time] mv_LowLevelCheckIfVideoPlayableUsingDecoder signalled err={error_code} ({error_description}) (video codec {codec_number}) at line {line_number},1
435,<<<< {module} >>>> {function}: {message},1
436,<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: {error_message}. Failed codec specific check.,1
437,CoreAnimation: timed out fence {fence_number},1
438,Failed to connect ({action}) outlet from ({source}) to ({destination}): {reason},1
439,__:__:__.___ ERROR: ___: {message} (___ ___); {variable}=0,1
440,ARPT: {timestamp}: AirPort_Brcm43xx::powerChange: {event} - {type} Wake/ {type} Wake / {type} wake,1
441,efi pagecount {count},2
442,"CCFile::captureLogRun Skipping current file Dir file {date}-AirPortBrcm4360_Logs-004.txt, Current File {date}-AirPortBrcm4360_Logs-004.txt",1
443,did discard act {act} inact {inact} purgeable {purgeable} spec {spec} cleaned {cleaned},1
444,Host controller terminated,1
445,[{hid}] [{mt}] {driver}::start entered,1
446,__[{}-{} evaluate{}]_block_invoke {} - {}! {}.{} {}.{}:{},1
447,[{module}]ERROR: {message},2
448,vm_compressor_{mode}_warmup completed - took {time} msecs,1
449,"Unable to simultaneously satisfy constraints: ( ""<NSAutoresizingMaskLayoutConstraint:0x{var1} h=-&- v=-&- V:[NSScrollView:0x{var2}]-(11)-| (Names: '|':NSView:0x{var3} )>"", ""<NSAutoresizingMaskLayoutConstraint:0x{var4} h=-&- v=-&- V:|-(45)-[NSScrollView:0x{var5}] (Names: '|':NSView:0x{var6} )>"", ""<NSAutoresizingMaskLayoutConstraint:0x{var7} h=-&- v=--& V:[NSView:0x{var8}](0)]>"", ""<NSAutoresizingMaskLayoutConstraint:0x{var9} h=-&- v=-&- V:|-(0)-[NSView:0x{var10}] (Names: '|':NSView:0x{var11})>"", ""<NSAutoresizingMaskLayoutConst",1
450,YYYY-MM-DD HH:MM:SS.mmm {process}[{pid}/{thread}] [lvl={level}] -[{class}({method}) {message},1
451,YYYY-MM-DD HH:MM:SS.mmm {app_name}[{process_id}/{thread_id}] [lvl={log_level}] -[{class_name}({method_name}) {log_message}],1
452,"Arranged view frame: {{}, {}}}",1
453,CCProfileMonitor::{functionName},1
454,Telling CSI to go {power}.,1
